id;City;Type;Adress;Name;Geo_spot1;Geo_spot2
c3a7f288711a1ac90b52f7806f3ed993aparts_moscow;г.Москва;moscow_aparts;г.Москва, ЖК Октябрь;Октябрь;55.785827;37.481702
2396d43590ea8e32185e7a963b9b92e9aparts_moscow;г.Москва;moscow_aparts;г.Москва, ЖК AFI Park Воронцовский;AFI Park Воронцовский;55.662913;37.537874
fc2a43c0e5b41c5e39cf1c0ba5d9967eaparts_moscow;г.Москва;moscow_aparts;г.Москва, ЖК Alcon Tower / Алкон III;Alcon Tower / Алкон III;55.78526;37.568129
abbe3d360cfc7c65c3ca62a1de1c4f94aparts_moscow;г.Москва;moscow_aparts;г.Москва, ЖК Allegoria Mosca;Allegoria Mosca;55.743507;37.600558
14746dc8653e80be8d3388b32763f7e2aparts_moscow;г.Москва;moscow_aparts;г.Москва, ЖК Ambassador Golf Club Residence;Ambassador Golf Club Residence;55.722918;37.516233
86a799bb5138e75179dfd1ffbd35c02eaparts_moscow;г.Москва;moscow_aparts;г.Москва, ЖК Baires;Baires;55.807623;37.489392
b8bba49f16de8a331f31a9a457bed6ddaparts_moscow;г.Москва;moscow_aparts;г.Москва, ЖК Balchug Viewpoint;Balchug Viewpoint;55.746831;37.628163
8977f70296515ed6432402739395c79faparts_moscow;г.Москва;moscow_aparts;г.Москва, ЖК Cameo;Cameo;55.77594;37.600576
79d45cdc717eb6935203cc19cb5e2ca6aparts_moscow;г.Москва;moscow_aparts;г.Москва, ЖК Carre Blanc;Carre Blanc;55.746051;37.6077
7670e868d4bfcf1721c9c396ef1a601baparts_moscow;г.Москва;moscow_aparts;г.Москва, ЖК Chkalov;Chkalov;55.755875;37.659955
6e2ac7817f1ce991eed04b02ed8c6ca6aparts_moscow;г.Москва;moscow_aparts;г.Москва, ЖК Citimix;Citimix;55.661176;37.453333
65a188a1770bcc9348a2aea8201c9ba7aparts_moscow;г.Москва;moscow_aparts;г.Москва, ЖК Cleverland;Cleverland;55.840037;37.582808
efdf41a08b7823d258de66af2d9aa8daaparts_moscow;г.Москва;moscow_aparts;г.Москва, ЖК Cloud Nine;Cloud Nine;55.740482;37.617869
71433056a78433da017d323d4b700f48aparts_moscow;г.Москва;moscow_aparts;г.Москва, ЖК Din Haus;Din Haus;55.793298;37.578585
6ce45e245f69442f70eb830c82cdc012aparts_moscow;г.Москва;moscow_aparts;г.Москва, ЖК Edison House;Edison House;55.772107;37.576681
4fee0f751548beb1313cc959a31461afaparts_moscow;г.Москва;moscow_aparts;г.Москва, ЖК Fairmont & Vesper Residences;Fairmont & Vesper Residences;55.770892;37.59542
408d137d5a93ad13919de1063184af25aparts_moscow;г.Москва;moscow_aparts;г.Москва, ЖК GloraX Aura Belorusskaya / I'M Тверская;GloraX Aura Belorusskaya / I'M Тверская;55.78318;37.585449
6a7e1f60c6cfccebcd0f670221d6fcecaparts_moscow;г.Москва;moscow_aparts;г.Москва, ЖК HighWay;HighWay;55.723729;37.686617
c72a2a4d0d538fcf3e9235380cb8f1f7aparts_moscow;г.Москва;moscow_aparts;г.Москва, ЖК Hill8;Hill8;55.807643;37.63544
5e0dc3ee1e8d54fc7e8afcb15011339aaparts_moscow;г.Москва;moscow_aparts;г.Москва, ЖК I'M / На Шлюзовой набережной / TIUM;I'M / На Шлюзовой набережной / TIUM;55.731353;37.647378
