id1;id2;Project;Dist1;Dist2;Adress;Date_finish;Class;Deal3;id3;Section2;Floor1;Room;Area1;Price;Geo_spot1;Geo_spot2
a4d2a292ac4f1c87e700efa17d76c649flats_moscow;5594a3862ed189031cbd4712161278d8;Невский;САО;Войковский;Адмирала Макарова ул.. вл. 6. к. 6;2022;Бизнес-;2021 4кв.;a0e51d4bafcd6bc22a630c64c272c860;1;13;1;29.4;;55.835518;37.495779
5c655b651a6069b33c5da4bf1f52a20cflats_moscow;c1bcbeb31c205a21186508c03c60d524;Wellton Towers;СЗАО;Хорошёво-Мнёвники;кв-л 75. к. 11.1;2022;Бизнес-;2021 4кв.;1d50052bd00696831ea58ead64ca70e9;1;39;4;108.5;329000;55.77354;37.473878
b3510ac172a7b9a2c0c6f6cec0481482flats_moscow;0e7ea6e51493ebe2859a6310f381085e;Остров;СЗАО;Хорошёво-Мнёвники;Нижние Мневники ул.. уч. 37Б. к. 3 (2 кв.);2024;Бизнес+;2021 4кв.;32436d595e71d37bef1f1bf43a7b0f1b;1;5;2;103.4;374224;55.750383;37.454582
57bb239113d38cc13a58b0e964310a0bflats_moscow;c153e2da6c1f19a254e6e50c2339a3ba;Life-Варшавская;ЮАО;Москворечье-Сабурово;2-й Котляковский пер. вл. 1. к. К4;2024;Комфорт;2021 4кв.;0cb09b2604c7666b98ae29de0598868c;3;5;2;63.68;257388.52;55.651135;37.63164
57bb239113d38cc13a58b0e964310a0bflats_moscow;d97a69ce70b3ee9a44412a60091dde32;Life-Варшавская;ЮАО;Москворечье-Сабурово;2-й Котляковский пер. вл. 1. к. К5;2024;Комфорт;2021 4кв.;163c936efd28bda2cfa8083d57ea903e;6;6;2;47.46;268491.13;55.651135;37.63164
8282c6f966eeb4ab452bb8939be1b71cflats_moscow;2ab47095ee5e8146066a497fc707c40c;Сердце столицы;СЗАО;Хорошёво-Мнёвники;Шелепихинская наб.. д. 34. к. 7 (к. 10);2024;Бизнес;2021 4кв.;ae1d906270d652df6cc2f302aed3081a;1;17;2;71.2;311364;55.762996;37.512676
162f244d937ec578f5e0e62cd65d9491flats_moscow;7d241ba7fc0b0a6387912e1d82d8732b;Символ;ЮВАО;Лефортово;Золоторожский Вал ул.. вл. 11. уч. Искренность. к. 26;2024;Бизнес;2021 4кв.;de8ac6e7a12ce7bb95f90e8fb41212b0;2;12;2;72.3;265143;55.751376;37.694962
92d1c7d9d774c3336c2bb82efe5b8342flats_moscow;5f7500a748376908c34946f8d04e43a7;Перовское 2;ЮВАО;Нижегородский;Перовское ш.. к. 1.1;2022;Комфорт;2021 4кв.;a568f30c3db06fd04a206d6fac0d5d3c;;6;2;59;226206;55.733574;37.740372
fc192ec9c7715d1fd604e7caba9a477eflats_moscow;85047e1496587c5308178484ba184857;RiverSky;ЮАО;Даниловский;Восточная ул.. вл. 4А. к. 3;2022;Бизнес;2021 4кв.;59804a0c996554b64ac4a58d8a436032;10;6;1;38.31;428568;55.719465;37.656829
162f244d937ec578f5e0e62cd65d9491flats_moscow;dfba8efa885d9a321b978c504b609e94;Символ;ЮВАО;Лефортово;Золоторожский Вал ул.. вл. 11. уч. Искренность. к. 24;2024;Бизнес;2021 4кв.;fba16c1f4b85a84c80abc0c79a8e83f9;4;9;1;44.8;393400;55.751376;37.694962
